IT Tower,Service Family,Service Type,Service Sub Type,Service Usage Type,Product Code,Usage Type, [lineItem/Operation],lineItem/LineItemDescription
Storage,Storage&Content Delivery,Amazon FSx,Windows File Server,Throughput Capacity,AmazonFSx,%ThroughputCapacity,CreateFileSystem:Windows,
Storage,Storage&Content Delivery,Amazon FSx,Windows File Server,Storage Volume,AmazonFSx,%Storage,CreateFileSystem:Windows,
Storage,Storage&Content Delivery,Amazon FSx,Windows File Server,Backup Usage,AmazonFSx,%BackupUsage,CreateFileSystem:Windows,
Storage,Storage&Content Delivery,Amazon FSx,Windows File Server,Regional Data Transfer,AmazonFSx,%DataTransfer-Regional-Bytes,CreateFileSystem:Windows,
Storage,Storage&Content Delivery,Amazon Glacier,-,Tax,AmazonGlacier,,,Tax%
Storage,Storage&Content Delivery,Amazon Glacier,Deep Archive,Storage Volume,AmazonGlacier,%Bytes,,
Storage,Storage&Content Delivery,Amazon Glacier,Flexible Retrieval,Provisioned Capacity,AmazonGlacier,%ProvisionedCapacityUnit,,
Storage,Storage&Content Delivery,Amazon Glacier,General,Timed Storage,AmazonGlacier,%TimedStorage-ByteHrs,,
Storage,Storage&Content Delivery,Amazon Glacier,General,Requests Tier 3,AmazonGlacier,%Requests-Tier3,,
Storage,Storage&Content Delivery,Amazon Glacier,General,Requests Tier 1,AmazonGlacier,%Requests-Tier1,,
Storage,Storage&Content Delivery,Amazon Glacier,General,Early Delete,AmazonGlacier,%EarlyDelete%,,
Cloud Services,Security and Identity,Amazon GuardDuty,-,Tax,AmazonGuardDuty,,,Tax%
Cloud Services,Security and Identity,Amazon GuardDuty,General,Free Events Analyzed,AmazonGuardDuty,%FreeEventsAnalyzed,,
Cloud Services,Security and Identity,Amazon GuardDuty,General,Paid Events Analyzed,AmazonGuardDuty,%PaidEventsAnalyzed,,
Cloud Services,Security and Identity,Amazon GuardDuty,General,Free Events Analyzed Data Volume,AmazonGuardDuty,%FreeEventsAnalyzed-Bytes,,
Cloud Services,Security and Identity,Amazon GuardDuty,General,Paid Events Analyzed Data Volume,AmazonGuardDuty,%PaidEventsAnalyzed-Bytes,,
Cloud Services,Security and Identity,Amazon Inspector,EC2 Agent-Based Assessments,Agent Assessments,AmazonInspector,%agent-assessments%,,
Cloud Services,Security and Identity,Amazon Inspector,Network Assessments,Network Assessments,AmazonInspector,%network-assessments%,,
Cloud Services,Management Tools,AWS Amplify,Amplify Hosting,Data Transfer Out,AWSAmplify,%DataTransferOut,,
Cloud Services,Management Tools,AWS Amplify,Amplify Hosting,Build Duration,AWSAmplify,%BuildDuration,,
Cloud Services,Management Tools,AWS Backup,Cold Storage,Early Delete from Cold,AWSBackup,%EarlyDelete-Cold%,,
Cloud Services,Management Tools,AWS Backup,Cold Storage,Restore from Cold,AWSBackup,%Restore-Cold%,,
Cloud Services,Management Tools,AWS Backup,Cold Storage,Cold Storage,AWSBackup,%ColdStorage%,,
Cloud Services,Management Tools,AWS Backup,Warm Storage,Restore from Warm,AWSBackup,%Restore-Warm%,,
Cloud Services,Management Tools,AWS Backup,Warm Storage,Warm Storage,AWSBackup,%WarmStorage%,,
Database,Database,Amazon DynamoDB,DynamoDB Accelerator (DAX),Node Usage,AmazonDAX,%NodeUsage%,,
Database,Database,Amazon DynamoDB,-,Tax,AmazonDynamoDB,,,Tax%
Database,Database,Amazon DynamoDB,Provisioned Capacity,Write Capacity Units,AmazonDynamoDB,%WriteCapacityUnit-Hrs,,
Database,Database,Amazon DynamoDB,Provisioned Capacity,Read Capacity Units,AmazonDynamoDB,%ReadCapacityUnit-Hrs,,
Database,Database,Amazon DynamoDB,Backup & Restore,Restore Data Size,AmazonDynamoDB,%RestoreDataSize-Bytes,,
Database,Database,Amazon DynamoDB,DynamoDB Streams,Stream Requests,AmazonDynamoDB,%Streams-Requests,,
Database,Database,Amazon DynamoDB,On-Demand Capacity,Write Request Units,AmazonDynamoDB,%WriteRequestUnits,,
Database,Database,Amazon DynamoDB,On-Demand Capacity,Read Request Units,AmazonDynamoDB,%ReadRequestUnits,,
Compute,Compute,Amazon Elastic Kubernetes Service,-,Tax,AmazonEKS,,,Tax%
Compute,Compute,Amazon Elastic Kubernetes Service,Standard EKS,Fargate vCPU Hours,AmazonEKS,%Fargate-vCPU-Hours%,,
Compute,Compute,Amazon Elastic Kubernetes Service,Standard EKS,Fargate GB Hours,AmazonEKS,%Fargate-GB-Hours,,
Compute,Compute,Amazon Elastic Kubernetes Service,Standard EKS,EKS Cluster Hours,AmazonEKS,%AmazonEKS-Hours:perCluster,,
Cloud Services,Artificial Intelligence,Amazon SageMaker,SageMaker Studio,Notebook Usage,AmazonSageMaker,%Notebk:%,,
Cloud Services,Artificial Intelligence,Amazon SageMaker,SageMaker Training,Train Usage,AmazonSageMaker,%Train:%,,
Cloud Services,Artificial Intelligence,Amazon SageMaker,SageMaker Processing,Processing Usage,AmazonSageMaker,%Processing%,RunInstance,
Cloud Services,Artificial Intelligence,Amazon SageMaker,SageMaker Batch Transform,Transform Usage,AmazonSageMaker,%Tsform%,,
Cloud Services,Artificial Intelligence,Amazon SageMaker,SageMaker Ground Truth,Training Support,AmazonSageMaker,%TrSpt%,,
Cloud Services,Artificial Intelligence,Amazon SageMaker,SageMaker Inference (Real-time),Hosting,AmazonSageMaker,%Host:%,,
Cloud Services,Artificial Intelligence,Amazon SageMaker,SageMaker Ground Truth,Labeled Objects,AmazonSageMaker,%LabeledObject,,